A B
# C:/Users/localadmin/Desktop/Python_Auswertungs_proggi/python/Python2016/ThomsonSpectrometer/data/ion_MOdu/20140227_006ions.tif | Z=1.0 | A=1.0 | binRange=(+-)18 20170427_6 full proton trace summed
65.3832968166 99128
63.6252740242 102556
61.9372140563 106304
60.3154532165 104960
58.7565645241 101388
57.257339595 96680
55.8147721202 95224
54.4260427835 102360
53.0885054758 107612
51.7996746807 107956
50.5572139197 94284
49.3589251549 92872
48.2027390612 100416
47.0867060866 106432
46.0089882282 103412
44.96785146 95060
43.9616587535 86084
42.9888636389 82116
42.0480042591 84796
41.1376978748 87272
40.2566357813 89820
39.4035786018 86488
38.577351927 82768
37.7768422704 82260
37.0009933152 84028
36.2488024275 79336
35.5193174157 74712
34.8116335153 71904
34.1248905824 72128
33.4582704788 78648
32.8109946338 82348
32.1823217705 83260
31.5715457821 81016
30.9779937484 75256
30.4010240817 75552
29.8400247921 76648
29.2944118639 71884
28.7636277357 72752
28.2471398743 71256
27.7444394397 70108
27.2550400301 67828
26.7784765061 70904
26.3143038841 76976
25.8620962977 72208
25.4214460204 66588
24.9919625464 68660
24.5732717249 70552
24.1650149449 65796
23.7668483673 64404
23.3784422008 68552
22.9994800182 68936
22.6296581125 65348
22.2686848876 66704
21.9162802837 63004
21.5721752336 63248
21.2361111494 63328
20.9078394362 64696
20.5871210322 64964
20.2737259737 70724
19.9674329825 71416
19.668029075 72504
19.3753091923 74180
19.0890758487 74060
18.8091387988 70784
18.5353147209 66328
18.2674269169 63072
18.0053050276 60160
17.7487847612 62712
17.4977076362 64348
17.2519207363 65008
17.0112764779 64804
16.775632388 68548
16.5448508936 65636
16.3187991208 62656
16.0973487034 60372
15.8803756008 61720
15.6677599241 65272
15.4593857707 64256
15.2551410659 59808
15.0549174126 60636
14.8586099471 65340
14.6661172019 66756
14.4773409748 65980
14.2921862032 60068
14.1105608448 62492
13.9323757628 70372
13.7575446168 70488
13.5859837581 71764
13.4176121297 67400
13.2523511704 64284
13.0901247231 64236
12.9308589473 66652
12.774482235 65744
12.6209251299 62864
12.4701202506 65280
12.3220022166 67720
12.1765075772 72152
12.0335747437 74368
11.8931439246 79128
11.7551570621 80860
11.6195577732 80600
11.4862912912 79484
11.3553044109 74740
11.2265454352 74048
11.0999641245 70048
10.975511647 70416
10.8531405325 72556
10.7328046262 72196
10.6144590458 76188
10.4980601394 81208
10.3835654453 89168
10.2709336532 95280
10.1601245673 91936
10.0510990696 99416
9.94381908633 118108
9.83824755406 117284
9.73434838797 109508
9.63208645091 107632
9.53142752371 108880
9.43233827658 114312
9.33478624146 129156
9.23873978548 133056
9.14416808526 128120
9.05104110222 126996
8.95932955869 131724
8.86900491493 146560
8.78003934688 145228
8.69240572477 133172
8.60607759244 130764
8.52102914731 136124
8.43723522116 137836
8.3546712615 138160
8.27331331353 149792
8.19313800284 147968
8.11412251856 145976
8.03624459715 148224
7.95948250674 144704
7.88381503192 153008
7.80922145912 173984
7.73568156242 175564
7.66317558985 168900
7.59168425009 170496
7.52118869966 182932
7.45167053053 194724
7.38311175804 206080
7.31549480934 232748
7.24880251204 236836
7.18301808339 225904
7.11812511968 208856
7.05410758601 216480
6.99094980641 237696
6.92863645421 241152
6.86715254275 227456
6.80648341639 239016
6.74661474175 234168
6.68753249927 224584
6.62922297495 223144
6.57167275247 234824
6.51486870539 226196
6.45879798973 218944
6.40344803667 219264
6.34880654551 226284
6.29486147685 245488
6.24160104595 251820
6.18901371631 252488
6.13708819338 240988
6.08581341853 254936
6.03517856315 278440
5.98517302294 270688
5.93578641236 240828
5.88700855922 245768
5.83882949944 275944
5.79123947199 286144
5.74422891393 273972
5.69778845558 278480
5.6519089159 293184
5.60658129791 302232
5.56179678431 288636
5.51754673316 280816
5.47382267374 298608
5.43061630249 302816
5.38791947903 304152
5.3457242224 328024
5.30402270725 334512
5.26280726027 304600
5.22207035663 301812
5.18180461655 352272
5.14200280197 381636
5.10265781328 335304
5.06376268617 295928
5.02531058854 332476
4.98729481747 377440
4.94970879638 391368
4.9125460721 362680
4.87580031213 342940
4.83946530195 363408
4.80353494241 376412
4.76800324713 383952
4.73286434001 402796
4.69811245284 401112
4.66374192291 377104
4.62974719067 363380
4.59612279754 398584
4.56286338369 418588
4.52996368588 402764
4.49741853544 400772
4.46522285618 422312
4.43337166242 427956
4.40186005711 418980
4.37068322988 441388
4.33983645523 452564
4.30931509078 437076
4.27911457546 418500
4.24923042782 449916
4.21965824441 480272
4.19039369812 478164
4.16143253659 444880
4.13277058069 417448
4.10440372301 436892
4.07632792636 493912
4.04853922239 507692
4.02103371011 473040
3.9938075546 447432
3.9668569856 497872
3.94017829627 527744
3.91376784187 523432
3.88762203854 493976
3.86173736207 487432
3.83611034673 485832
3.81073758407 460852
3.78561572185 458964
3.76074146286 510020
3.7361115639 558100
3.71172283469 525472
3.68757213685 483604
3.66365638288 521340
3.63997253517 565376
3.61651760506 575088
3.59328865186 535508
3.57028278197 492292
3.54749714795 485960
3.52492894764 549036
3.50257542332 591936
3.48043386082 556196
3.45850158877 477772
3.43677597773 463816
3.41525443943 514480
3.39393442598 581116
3.37281342915 577724
3.35188897961 526824
3.33115864618 518136
3.31062003521 551948
3.29027078977 578644
3.27010858908 579804
3.25013114779 578392
3.23033621534 578732
3.21072157536 567184
3.19128504498 522560
3.17202447432 519816
3.15293774578 588580
3.13402277357 629416
3.11527750307 583216
3.09669991028 543100
3.0782880013 549168
3.06003981177 583744
3.04195340637 620220
3.02402687828 634732
3.0062583487 583556
2.98864596633 545720
2.97118790692 596148
2.95388237278 664688
2.93672759232 638656
2.9197218196 571644
2.90286333388 555888
2.88615043919 588024
2.86958146389 590612
2.85315476027 591728
2.83686870415 610364
2.82072169442 638724
2.80471215274 616392
2.78883852305 606604
2.77309927129 652864
2.75749288496 675144
2.74201787278 640940
2.72667276434 572048
2.71145610974 559720
2.69636647926 600316
2.68140246301 643816
2.6665626706 626512
2.65184573085 591504
2.63725029141 603880
2.62277501851 671896
2.60841859663 692204
2.59417972821 629156
2.58005713333 540796
2.56604954946 538476
2.55215573114 635680
2.53837444975 714568
2.52470449319 705872
2.51114466564 675632
2.49769378729 696420
2.48435069411 676896
2.47111423754 629996
2.45798328431 629600
2.44495671613 687180
2.43203342953 680464
2.41921233554 643840
2.40649235953 665168
2.39387244096 706984
2.38135153314 715420
2.36892860306 672148
2.3566026311 660020
2.34437261092 661408
2.33223754918 664812
2.32019646534 703348
2.30824839153 723664
2.29639237227 700660
2.28462746433 658088
2.27295273654 692112
2.26136726957 727144
2.24987015581 703576
2.23846049913 674228
2.22713741474 700504
2.21590002901 757164
2.20474747931 725988
2.19367891383 665828
2.18269349142 667604
2.17179038144 758028
2.1609687636 787392
